'a'bao 阿宝
'qing'yuan 清源
'qing'yue'jian'shui 青越剑水
'qing'zhan'ba'dao'shan'zhuang 请战霸刀山庄
'qing'zhan'bei'tian'yao'zong 请战北天药宗
'qing'zhan'cang'jian'shan'zhuang 请战藏剑山庄
'qing'zhan'cang'yun 请战苍云
'qing'zhan'chang'ge'men 请战长歌门
'qing'zhan'chun'ni'hu'hua 清湛春泥护花
'qing'zhan'chun'yang'gong 请战纯阳宫
'qing'zhan'dao'zong 请战刀宗
'qing'zhan'duan'shi 请战段氏
'qing'zhan'fu'rong'bing'di 清湛芙蓉并蒂
'qing'zhan'gai'bang 请战丐帮
'qing'zhan'ling'xue'ge 请战凌雪阁
'qing'zhan'ming'jiao 请战明教
'qing'zhan'peng'lai 请战蓬莱
'qing'zhan'qi'xiu'fang 请战七秀坊
'qing'zhan'shao'lin'si 请战少林寺
'qing'zhan'shui'yue'wu'jian 清湛水月无间
'qing'zhan'tang'men 请战唐门
'qing'zhan'tian'ce'fu 请战天策府
'qing'zhan'wan'hua'gu 请战万花谷
'qing'zhan'wan'ling'shan'zhuang 请战万灵山庄
'qing'zhan'wu'du'jiao 请战五毒教
'qing'zhan'xing'lou'yue'ying 清湛星楼月影
'qing'zhan'yan'tian'zong 请战衍天宗
'qing'zhan'yu'shi'ju'fen 清湛玉石俱焚
'qing'zheng 轻症
'qing'zheng'yu 清蒸鱼
'qing'zhou 晴昼
'qiong'gui'yu'zhi 琼桂玉枝
'qiong'jiang 琼浆
'qiong'jin'jiu'quan 穷尽九泉
'qiong'lian 琼莲
'qiong'ye'mi'ce'fan'zhen'jue 穹野秘册反震诀
'qiong'ye'mi'ce'lu'zhan'jue 穹野秘册戮战诀
'qiong'ye'mi'ce'xu'shi'jue 穹野秘册蓄势决
'qiong'ye'mi'ce'yu'feng'jue 穹野秘册御风诀
'qiong'ye'mi'ce'zhan'kuang'jue 穹野秘册战狂诀
'qiong'ye'yu'die'ming'xia 穹野玉牒名侠
'qiong'zhan 穷战
'qiu'bu'de'ku 求不得苦
'qiu'du'shui'xing 泅渡水性
'qiu'fan 囚犯
'qiu'feng'ci 秋风辞
'qiu'feng'luo'ye 秋风落叶
'qiu'feng'san'ying 秋风散影
'qiu'hao 秋毫
'qiu'huang 求凰
'qiu'hui'fan'ying 秋晖繁英
'qiu'hui'ying'meng 秋辉映梦
'qiu'hun 囚魂
'qiu'hun'xin'lao 囚魂心牢
'qiu'jian 秋剑
'qiu'jiang'bai'lu 秋江白鹭
'qiu'jin 囚禁
'qiu'lao 囚牢
'qiu'lao'gu'hun 囚牢孤魂
'qiu'long 虬龙
'qiu'lu 秋露
'qiu'lu'jin 秋露禁
'qiu'lu'ning'xue 秋露凝雪
'qiu'rao 求饶
'qiu'ren 求仁
'qiu'sheng'ben'neng 求生本能
'qiu'sheng'zhi'wang 求生之望
'qiu'shui 秋水
'qiu'shui'jiao'yun 秋水皎云
'qiu'su 秋肃
'qiu'suo 囚锁
'qiu'yan 囚燕
'qiu'yang'du'xing'nei'gong 秋阳毒性内功
'qiu'yang'hun'yuan'nei'gong 秋阳混元内功
'qiu'yang'shen'gong'yang'xing'nei'gong 秋阳神功阳性内功
'qiu'yang'wai'gong 秋阳外功
'qiu'yang'yin'xing'nei'gong 秋阳阴性内功
'qiu'yuan 求缘
'qu'chi'xue 曲池穴
'qu'fa 取法
'qu'gan'hu'die 驱赶蝴蝶
'qu'gan'lei'xing 驱赶类型
'qu'gan'song'shu'ji'shu 驱赶松鼠计数
'qu'gan'wu'ya 驱赶乌鸦
'qu'gao'he'gua 曲高和寡
'qu'gu 曲骨
'qu'hui 祛晦
'qu'jiang'you 曲江游
'qu'jin 曲尽
'qu'mi 取蜜
'qu'quan'hu'xin'qi'jin'qiang 曲泉护心气劲强
'qu'quan'hu'xin'qi'jin'ruo 曲泉护心气劲弱
'qu'quan'hu'xin'xiao'guo'qiang 曲泉护心效果强
'qu'quan'hu'xin'xiao'guo'ruo 曲泉护心效果弱
'qu'san 曲散
'qu'tang'fei'ying'yi'rong'zhi'er 瞿塘飞影易容之二
'qu'tang'fei'ying'yi'rong'zhi'san 瞿塘飞影易容之三
'qu'tang'fei'ying'yi'rong'zhi'yi 瞿塘飞影易容之一
'qu'xing'jian 取星剑
'qu'ye'duan'chou 驱夜断愁
'qu'yi'she'shen 取义舍身
'qu'yu'biao'ji 区域标记
'qu'yu'xian'shi'biao'ji 区域显示标记
'qu'zhe'zhi 屈柘枝
'qu'zhong 曲终
'qu'zhu 驱逐
'quan'jie 泉竭
'quan'jin 拳劲
'quan'jing 泉镜
'quan'long'lian'zhen 劝龙廉贞
'quan'long'tan'lang 劝龙贪狼
'quan'ning'yue 泉凝月
'quan'nu 犬怒
'quan'shen'er'tui 全身而退
'quan'shen'guan'zhu 全神贯注
'quan'shi 犬视
'quan'su'qian'jin 全速前进
'quan'tuan'da'feng 全团大风
'quan'yan'wu'gou 泉眼污垢
'quan'yi 拳意
'quan'yin 拳印
'quan'ying'qian'shan'huan'huo 泉映千山幻惑
'quan'ying'qian'shan'shi 泉映千山式
'quan'yong 泉涌
'que'bu 鹊步
'que'fei 缺肥
'que'gu 确固
'que'gu'bu'ba 确固不拔
'que'shen'fu'ti 雀神附体
'que'shui 缺水
'que'ta'zhi 鹊踏枝
'que'yin 雀引
'que'yin'gou'zhong 雀引彀中
'que'yin'zhao'ming 雀引昭明
'que'zhui'yun 雀坠云
'qun'gou'zheng'shi 群狗争食
'qun'lang'zhi'shou 群狼之首
'qun'she'du'wu 群蛇毒雾
'qun'xia'yi'ju'zheng'ying'wu'ba'shu'cong'jin'qi'feng'yun 群侠义聚争英武巴蜀从今起风云
'qun'ying'sai 群英赛
'ran'fang 燃放
'ran'gu'suo'ren 燃骨锁刃
'ran'huo 燃火
'ran'jin 燃尽
'ran'ju 燃炬
'ran'ju 燃驹
'ran'mo 染墨
'ran'mu 燃木
'ran'mu'huo 燃木火
'ran'qi'lai'le 燃起来了
'ran'qing 燃情
'ran'shao 燃烧
'ran'shao'biao'xian 燃烧表现
'ran'shi'zhuo'shao 燃石灼烧
'ran'ti 燃体
'ran'xue 染血
'ran'you 燃油
'ran'you'shi 燃油石
'ran'zhu 燃烛
'rang'zai 禳灾
'rao'luan'ci'xu 扰乱次序
'rao'luan'zhen'ying'zhi'xu 扰乱阵营秩序
'rao'shen 扰神
'rao'sheng'xi'fa 绕绳戏法
'rao'xin 扰心
'rao'xin'dun 扰心盾
'rao'yang 扰阳
'rao'zu 绕足
're'jiu 热酒
're'li'bao'fa 热力爆发
're'li'ning'ju 热力凝聚
're'liu'an'yong 热流暗涌
're'qing'mang'mu'shi 热情盲目湿
're'qing'mang'mu'zao 热情盲目燥
're'shui 热水
're'xue 热血
're'xue'fei'teng 热血沸腾
're'yin 热饮
'ren'chi'cheng 任驰骋
'ren'dai'zhi'can 韧带致残
'ren'dao 人道
'ren'dao'jian'qi 人道剑气
'ren'de 仁德
'ren'dun 刃遁
'ren'duo'shi'zhong 人多势众
'ren'fa'bao'sui 忍法爆碎
'ren'fa'xue'ning 忍法雪凝
'ren'fa'xue'qing'long 忍法雪青龙
'ren'feng 刃锋
'ren'feng'lian 忍风链
'ren'he 人和
'ren'jian'he'yi 人剑合一
'ren'jian'ye'se 人间夜色
'ren'mai'xia'wan 任脉下脘
'ren'mai'zhong'ji 任脉中极
'ren'mai'zhong'ting 任脉中庭
'ren'mai'zhong'wan 任脉中脘
'ren'nai 忍耐
'ren'ou 人偶
'ren'qu'yu'biao'ji 人区域标记
'ren'qu'yu'yin'cang'biao'ji 人区域隐藏标记
'ren'sheng'ji'he 人生几何
'ren'sheng'ru'du 人生如赌
'ren'sheng'zai'shi'bu'chen'yi'ming'zhao'san'fa'nong'pian'zhou 人生在世不称意明朝散发弄扁舟
'ren'shu'huang'wu'dao 忍术荒武刀
'ren'shu'ji'qi 忍术激气
'ren'shu'jiao'zha 忍术狡诈
'ren'shu'mi'ti 忍术秘体
'ren'wei 人卫
'ren'wu'ji'chu'zhi'liao'cheng'xiao 人物基础治疗成效
'ren'xia 任侠
'ren'xia'gui 刃下鬼
'ren'xia'yan 任侠宴
'ren'xing 韧性
'ren'xing'xie 韧性鞋
'ren'yao'zhi'bo 人妖之啵
'ren'yao'zhi'wen 人妖之吻
'ren'yi 仁义
'ren'yin'cang'biao'ji 人隐藏标记
'ren'yin'cang'zheng'mian'biao'ji 人隐藏正面标记
'ren'zai'jiang'hu 人在江湖
'ren'zhe'ai'ren 仁者爱人
'ren'zhen 认真
'ren'zhen'zhi'liao 认真治疗
'ren'zhong'lv'bu 人中吕布
'reng'chu'fei'dao 扔出飞刀
'reng'chu'yu'cha 扔出鱼叉
'ri'chu 日出
'ri'ji 日极
'ri'jie 日劫
'ri'lun'hui'tian 日轮回天
'ri'mian 日冕
'ri'sheng 日升
'ri'xing'qian'li 日行千里
'ri'yang 日阳
'ri'yao 日曜
'ri'ying 日影
'ri'ying 日盈
'ri'yue'feng'qing'gong 日月封轻功
'ri'yue'hui 日月晦
'ri'yue'hui'hui 日月晦晦
'ri'yue'ling'hun 日月灵魂
'ri'yue'ming'zun'gong'zhan'jiang'hu 日月明尊共战江湖
'ri'yue'qi'guang 日月齐光
'ri'yue'qi'guang'er 日月齐光贰
'ri'yue'qi'guang'ri 日月齐光日
'ri'yue'qi'guang'san 日月齐光叁
'ri'yue'qi'guang'yue 日月齐光月
'ri'yue'tong'hui 日月同辉
'ri'yue'tong'yun 日月同陨
'ri'yue'wu'gou 日月吴钩
'ri'yue'xiang'tui 日月相推
'ri'yue'zhi'zhao 日月之昭
'ri'zhuo 日灼
'rong'duan'po'jia 熔断破甲
'rong'gu'du'ye 溶骨毒液
'rong'guo'er 绒果儿
'rong'hang'dun 戎行盾
'rong'hui 荣辉
'rong'hui 融汇
'rong'huo 熔火
'rong'jin'li 融金力
'rong'ku 荣枯
'rong'rong'yi'dong'ming'jing 融融一冬鸣景
'rong'rong'yi'dong'si'ruo 融融一冬斯若
'rong'shui 溶水
'rong'wei 戎卫
'rong'xue 融雪
'rong'yan'biao'ji 熔岩标记
'rong'yan'fan 戎焰凡
'rong'yan'he 戎焰合
'rong'yan'qi 戎焰奇
'rong'yan'qi'cang'jian 戎焰奇藏剑
'rong'yan'qi'cang'yun 戎焰奇苍云
'rong'yan'qi'chang'ge 戎焰奇长歌
'rong'yan'qi'chun'yang 戎焰奇纯阳
'rong'yan'qi'ling'xue 戎焰奇凌雪
'rong'yan'qi'qi'xiu 戎焰奇七秀
'rong'yan'qi'shao'lin 戎焰奇少林
'rong'yan'qi'tian'ce 戎焰奇天策
'rong'yan'qi'wu'du 戎焰奇五毒
'rong'yan'xian 戎焰闲
'rong'yan'zhen 戎焰珍
'rong'yu'tuan 绒玉团
'rou'gu'cha 肉骨茶
'rou'gu'tou 肉骨头
'rou'meng 柔梦
'rou'shi 肉食
'rou'shi'ci'ji 肉食刺激
'rou'shi'kuang'bao 肉食狂暴
'rou'ti 柔荑
'rou'ti'ku'jie 肉体枯竭
'ru'ba'huang 入八荒
'ru'ce 如厕
'ru'ding 入定
'ru'feng 如风
'ru'fu 如馥
'ru'huan 入幻
'ru'huo 如火
'ru'jing 如镜
'ru'jing'si'ying 如镜似影
'ru'lin'shen'yuan 如临深渊
'ru'mang'zai'bei 如芒在背
'ru'meng'si'huan 如梦似幻
'ru'meng'zhe 入梦者
'ru'mi 入迷
'ru'mo 入魔
'ru'mo'zhang 入魔障
'ru'mu'chun'feng 如沐春风
'ru'shi 入世
'ru'shi'gong'fang 入世攻防
'ru'xi 入戏
'ru'ye 入夜
'ru'yi 如意
'ru'yi'hu 如意壶
'ru'yi'jin'nang 如意锦囊
'ru'yi'xiang'nang 如意香囊
'ru'yi'xin'chun 如意新春
'ru'you'shen'zhu 如有神助
'ru'yu 入狱
'ru'yu 入舆
'ru'yue 入月
'ru'yun 如云
'ru'zhen 入阵
'ru'zui'ru'meng 如醉如梦
'ru'zuo 入座
'ru'zuo'chun'feng 如坐春风
'ru'zuo'he'cha 入座喝茶
'ruan'hua 软化
'ruan'ruo 软弱
'ruan'wei'jia 软猬甲
'rui'bu'ke'dang 锐不可当
'rui'fen 瑞氛
'rui'he'xian'deng 瑞鹤仙灯
'rui'jian'shang'jin 锐箭伤筋
'rui'jin 锐劲
'rui'mu 锐目
'rui'qi'shou'cuo 锐气受挫
'rui'ren 锐刃
'rui'xue 瑞雪
'rui'xue'ying'zhi 瑞雪盈枝
'rui'yi 锐意
'run'fei'tang 润肺汤
'run'fei'xiang'nang 润肺香囊
'ruo'dian'bao'lu 弱点暴露
'ruo'dian'biao'ji'shou'jin'bu'zu 弱点标记手劲不足
'ruo'dian'biao'ji'tui'jiao'bu'bian 弱点标记腿脚不便
'ruo'dian'yin'ji 弱点印记
'ruo'feng 弱风
'ruo'hai 若海
'ruo'hua 弱化
'ruo'hun 弱魂
'ruo'ji'ruo'li 若即若离
'ruo'li 弱力
'ruo'mu 若木
'ruo'shen 若神
'ruo'shui 弱水
'ruo'shui'qing'jiang 若水清江
'ruo'ying'jin'ci 若影劲刺
'ruo'zhe'de'biao'ji 弱者的标记
'sa'shi'hui 撒石灰
'sa'shou'jian 撒手锏
'sa'shuang'ying'zi 飒爽英姿
'sai'ji'mo'gong'fang'kuang'huan 赛季末攻防狂欢
'sai'ma 赛马
'sai'ma'dao'ji'shi 赛马倒计时
'san'bu'yi'sha 三步一杀
'san'cai'hua'sheng 三才化生
'san'cheng'jian'qi'di 三乘剑气地
'san'chi'qing'feng 三尺青锋
'san'chong'qiao'shu 三重巧熟
'san'die 三叠
'san'du'ru'ti 三毒入体
'san'fu'kong'biao'ji 伞浮空标记
'san'fu'kong'huan'man'xia'jiang 伞浮空缓慢下降
'san'he 三合
'san'hua 散华
'san'hua 散花
'san'hua'le 散花乐
'san'hua'mie 散花灭
'san'hun 散魂
'san'ji 伞击
'san'ji'da'ye'dao'zheng'shi'fu'shan'chu'xian'shi 三级打野刀正式服删除显示
'san'jiao'ding 三角钉
'san'lian'chuan'shen 散链穿身
'san'liu'xia 散流霞
'san'po 散魄
'san'qiang'ding'shen 三枪定身
'san'qiang'li 散枪立
'san'qiang'tou'zhi 散枪投掷
'san'qiang'zhen 散枪阵
'san'qing'wu'ji'zhen 三清无极阵
'san'qing'wu'ji'zhen'di'er'chong 三清无极阵第二重
'san'qing'wu'ji'zhen'di'san'chong 三清无极阵第三重
'san'qing'wu'ji'zhen'di'si'zhong 三清无极阵第四重
'san'qing'wu'ji'zhen'di'yi'zhong 三清无极阵第一重
'san'ri'zhi'qi 三日之期
'san'she'jian 散射箭
'san'sheng 三生
'san'shi 三世
'san'tou'yan 三头宴
'san'wan'men'ke 三碗门客
'san'wu 伞舞
'san'wu'feng'bi'xue 伞舞风避雪
'san'xian'tang 三鲜汤
'san'xian'zhou 三鲜粥
'san'xiao'wen'xin'zhen 三笑问心针
'san'xin 散心
'san'xing 三星
'san'xing'gong'zhu 三姓共主
'san'xuan'ji'zhen 三玄极真
'san'xuan'zhen'yu 三玄阵御
'san'yi 伞意
'san'ying 伞影
'san'ying 散影
'san'zai'jian'xia'qing 三载剑侠情
'san'zhen'xuan'feng 散阵旋风
'sang'dan 丧胆
'sang'lian'miao'jing 桑莲妙境
'sang'rou 桑柔
'sao'luan 骚乱
'se'kong'ti 色空体
'sen'lin'zhi'ling 森林之灵
'sen'luo'bi'lei 森罗壁垒
'sen'luo'lian'yu 森罗炼狱
'sen'luo'wan'ren 森罗万刃
'seng'suo'luo 僧娑洛
'sha'bao 沙暴
'sha'chen 沙尘
'sha'chen'rao'luan 沙尘扰乱
'sha'chen'ru'fei 沙尘入肺
'sha'dun 沙盾
'sha'hong'yan 杀红眼
'sha'ji 杀机
'sha'ji'si'fu 杀机四伏
'sha'long'zhi'hun 煞龙之魂
'sha'lu'ji'qi 杀戮机器
'sha'lu'zhi'yu 杀戮之欲
'sha'qi 杀气
'sha'qi 煞气
'sha'qi'chong'tian 煞气冲天
'sha'ren'shu'shang'xian'hou'hui'shan'chu 杀人书上线后会删除
'sha'tu 砂土
'sha'xian 沙陷
'sha'xing 煞星
'sha'xing'zai'wei 杀星在尾
'sha'xue 歃血
'sha'xue'gang'qi 煞血罡气
'sha'yi 杀意
'sha'yu'yi'shang 鲨鱼易伤
'sha'zang 沙葬
'sha'zhi'xi 鲨之息
'sha'zhi'xi'hu'dun 鲨之息护盾
'sha'zhi'xi'shui'zhong'lie'shou 鲨之息水中猎手
'shai'shu'shai'cai'tiao'zhan 晒书晒才挑战
'shan'beng'di'lie 山崩地裂
'shan'bi 闪避
'shan'chui'hui'ying'shan 山吹绘樱扇
'shan'dian'fan'ying 闪电反应
'shan'du 善毒
'shan'duo 闪躲
'shan'duo'teng'nuo 闪躲腾挪
'shan'feng'man'lou 山风满楼
'shan'gen 山艮
'shan'gu'mu'xiang 扇骨木香
'shan'gu'zhang'qi 山谷瘴气
'shan'guang 闪光
'shan'hai 山海
'shan'hai'tong'feng 山海同风
'shan'hai'xin'jue'xing'xiu'deng'ji 山海心诀星宿等级
'shan'hai'xin'jue'xing'xiu'zhi'li 山海心诀星宿之力
'shan'hai'yun'ya 山海云涯
'shan'he 山河
'shan'he'ding'hu'bu'gui 山河定胡不归
'shan'he'tong'du 山河同渡
'shan'he'yan 山河宴
'shan'hu 善护
'shan'huo'ben 山火贲
'shan'ji 闪戟
'shan'jian'xing'zou'er 山间行走贰
'shan'jian'xing'zou'kang'shuai 山间行走抗摔
'shan'jian'xing'zou'san 山间行走叁
'shan'jian'xing'zou'yi 山间行走壹
'shan'ling 山灵
'shan'ling'hu'you 山灵护佑
'shan'mian'biao'shi 扇面标示
'shan'nong 煽弄
'shan'po 闪破
'shan'qing 山倾
'shan'qiong'shui'jin 山穷水尽
'shan'shen 闪身
'shan'si 善思
'shan'tao 闪逃
'shan'wai'qing'shan 山外青山
'shan'wu'ci 闪舞刺
'shan'xing 善行
'shan'xiu 善修
'shan'yao 闪耀
'shan'ye 善业
'shan'ye'jia'chi 善业加持
'shan'ye'yin 善业因
'shan'yu'yu'lai'feng'man'lou 山雨欲来风满楼
'shan'yue 山岳
'shan'yun'du 扇云毒
'shan'zhang 山瘴
'shan'zhen 善臻
'shan'zhen 山阵
'shan'zhi'dun 山之盾
'shan'zhong 膻中
'shan'zi 山子
'shang'bai'gui'xiang'nang 尚柏桂香囊
'shang'bai'hua'xiang'nang 尚百花香囊
'shang'can 伤残
'shang'chang 上场
'shang'chi 上赤
'shang'ci'jian'su 伤刺减速
'shang'di 伤敌
'shang'dian'chang'ke 商店常客
'shang'dui'luo'tuo 商队骆驼
'shang'gou 上钩
'shang'gui'zhi'xiang'nang 尚桂枝香囊
'shang'hai 伤害
'shang'hai'biao'xian 伤害表现
'shang'hai'fan'tan 伤害反弹
'shang'hai'jian'mian 伤害减免
'shang'hai'mian'yi 伤害免疫
'shang'hai'shen'tou 伤害渗透
'shang'hai'ti'gao 伤害提高
'shang'hai'xi'shou 伤害吸收
'shang'hai'xi'shou'dun 伤害吸收盾
'shang'hai'zeng'jia 伤害增加
'shang'han 伤寒
'shang'han'ru'ti 伤寒入体
'shang'hen 伤痕
'shang'hen'lei'lei 伤痕累累
'shang'jiang'jun'yin 上将军印
'shang'jin'cuo'gu 伤筋错骨
'shang'jin'dong'gu 伤筋动骨
'shang'kou 伤口
'shang'kou'beng'lie 伤口崩裂
'shang'kou'gan'ran 伤口感染
'shang'kou'kai'lie 伤口开裂
'shang'kou'kui'lan 伤口溃烂
'shang'kou'kuo'da 伤口扩大
'shang'kou'lie'kai 伤口裂开
'shang'kou'si'lie 伤口撕裂
'shang'pin'chang'hen'san 上品长恨散
'shang'pin'chang'sheng'dan 上品长生丹
'shang'pin'da'li'wan 上品大力丸
'shang'pin'huo'qi'san 上品活气散
'shang'pin'jian'ti'wan 上品健体丸
'shang'pin'jin'chuang'yao 上品金创药
'shang'pin'jin'chuang'yao 上品金疮药
'shang'pin'jing'xin'wan 上品静心丸
'shang'pin'ju'hun'dan 上品聚魂丹
'shang'pin'kang'long'san 上品亢龙散
'shang'pin'na'yuan'dan 上品纳元丹
'shang'pin'ning'shen'dan 上品凝神丹
'shang'pin'ning'shen'san 上品凝神散
'shang'pin'po'hui'dan 上品破秽丹
'shang'pin'po'hui'san 上品破秽散
'shang'pin'qing'shen'dan 上品轻身丹
'shang'pin'yi'qi'san 上品益气散
'shang'pin'yu'li'san 上品玉璃散
'shang'pin'yu'lu'dan 上品玉露丹
'shang'pin'zhan'feng'san 上品展凤散
'shang'qing 伤情
'shang'qing'kong'ming 上清空明
'shang'shang'pin'chang'sheng'dan 尚上品长生丹
'shang'shang'pin'ning'shen'dan 尚上品凝神丹
'shang'shang'pin'po'hui'dan 尚上品破秽丹
'shang'shang'pin'yu'lu'dan 尚上品玉露丹
'shang'sheng'qi'liu 上升气流
'shang'shi 伤逝
'shang'shi 赏识
'shang'xian 上限
'shang'yang 伤阳
'shang'yang'jian 商阳剑
'shang'yang'jian'qi 商阳剑气
'shang'yang'mie 伤阳灭
'shang'yang'sheng 伤阳生
'shang'yang'zhi 商阳指
'shang'yang'zhi'jian'kong'biao'ji 商阳指监控标记
'shang'yin 商音
'shang'yu 伤愈
'shang'yuan 伤元
'shang'yuan'deng'jie 上元灯节
'shang'yuan'dian'huan 上元点鬟
'shang'yuan'hua 上苑花
'shang'zhi'ren'xiang'nang 尚栀仁香囊
'shang'zhou'ke'de'zhu'fu 商周客的祝福
'shang'zi'he'xiang'nang 尚紫荷香囊
'shao'chong'jian 少冲剑
'shao'chong'jian'qi 少冲剑气
'shao'deng'pian'ke 稍等片刻
'shao'hua'chun'qiu'yan'ge'xing 韶华春秋燕歌行
'shao'ji'wai'shi 烧鸡外食
'shao'jing 韶景
'shao'lin'bian'zhuang 少林变装
'shao'lin'ce'shi 少林测试
'shao'lin'chan'ji 少林禅机
'shao'lin'de'shi'lian 少林的试炼
'shao'lin'de'shi'lian'mei'hua'zhuang 少林的试炼梅花桩
'shao'lin'de'shi'lian'qian'jin'zhui 少林的试炼千斤坠
'shao'lin'si 少林寺
'shao'nian'xing 少年行
'shao'shang'jian 少商剑
'shao'shang'jian'qi 少商剑气
'shao'wei'yan 烧尾宴
'shao'wei'yan'hun'yang'mo'hu 烧尾宴浑羊殁忽
'shao'wei'yan'su'zheng'yin'sheng'bu 烧尾宴素蒸音声部
'shao'wei'yan'zheng'la'xiong 烧尾宴蒸腊熊
'shao'yang'shen'gong 少阳神功
'shao'yang'zhi 少阳指
'shao'yao'feng'qing'yu'pen 芍药风清玉盆
'shao'yao'yu'luo'yu'pen 芍药雨洛玉盆
'shao'yao'yun'li'yu'pen 芍药云荔玉盆
'shao'ze'jian 少泽剑
'shao'ze'jian'qi 少泽剑气
'shao'ze'xue 少泽穴
'shao'zuo'deng'dai 稍作等待
'she'du 蛇毒
'she'du'beng'fa 蛇毒迸发
'she'du'kang'ti 蛇毒抗体
'she'fu 慑服
'she'gu'jian 射骨箭
'she'gu'kui'jia 蛇蛊葵甲
'she'gu'kui'zhi'jia 蛇蛊葵之甲
'she'hun 摄魂
'she'ji 射戟
'she'ji'suo'ding 射击锁定
'she'jian 射箭
'she'li'xin 舍利心
'she'nian'da'ji 蛇年大吉
'she'po 摄魄
'she'po'gui'chong'ci 摄魄鬼虫刺
'she'sha'wu'ji 赦杀无忌
'she'shen 舍身
'she'shen'shou'ku 蛇身受苦
'she'sheng 舍生
'she'sheng'wang'si 舍生忘死
'she'wang'gu 蛇王蛊
'she'wei'fan 蛇尾返
'she'xi 蛇悉
'she'xian 蛇涎
'she'xin 摄心
'she'ya 蛇牙
'she'ya'zhui'xin 蛇牙锥心
'she'yan 蛇蜒
'she'yao 蛇咬
'she'ye 涉野
'she'ying 蛇影
'she'ying'duo'ming 蛇影夺命
'she'ying'ku'can 蛇影枯残
'she'ying'mi'die 蛇影迷蝶
'she'ying'mi'xin 蛇影迷心
'she'yu 赦谕
'shei'ren'geng'sao'huang'jin'tai 谁人更扫黄金台
'shen'an'zhi'fu 深暗之缚
'shen'an'zhi'xue 深暗之血
'shen'ben'tuo'li 神本脱离
'shen'bing'bao'jia 神兵宝甲
'shen'bing'gong 神兵宫
'shen'bing'ji'qu 神兵汲取
'shen'bing'jian'yu 神兵剑羽
'shen'bing'wu'shuang 神兵无双
'shen'bing'yu 神兵羽
'shen'bu'you'ji 身不由己
'shen'bu'you'yi 身不由已
'shen'cai'fei'yang 神采飞扬
'shen'cang'shen'yu'ming 深藏身与名
'shen'ce'jin'chuang'yao'yu 神策金疮药御
'shen'ce'yi'rong 神策易容
'shen'chu'gui'mo 神出鬼没
'shen'chu'hun'xu 身处魂墟
'shen'dao'jie'wen 神道戒纹
'shen'dian'yi'kuang'jue 神颠意狂诀
'shen'dun 神遁
'shen'fa 身乏
'shen'fa'qing'ying 身法轻盈
'shen'fa'zeng'qiang'da 身法增强大
'shen'fa'zeng'qiang'xiao 身法增强小
'shen'fen'bao'lu 身份暴露
'shen'fu'bai'hong'ning'guang 身负白虹凝光
'shen'fu'bai'hong'zhong'xue 身负白虹重雪
'shen'fu'fu 神福符
'shen'fu'zhong'shang 身负重伤
'shen'gan 神感
'shen'gong 神工
'shen'gong'chu'xian 神功初显
'shen'gong'hu'ti 神功护体
'shen'gu'shi'sui 神蛊噬髓
'shen'hai'bi'hu 深海庇护
'shen'hai'zhi'hun 深海之魂
'shen'hai'zhi'men 深海之门
'shen'han 深寒
'shen'han'jian'qi 深寒剑气
'shen'huo 神火
'shen'ji 神机
'shen'ji'dan 神机弹
'shen'ji'jian 神机箭
'shen'ji'lei 神机雷
'shen'ji'lei'da'ren 神机雷达人
'shen'ji'mu'jia 神机木甲
'shen'ji'nu'jian 神机弩箭
'shen'ji'qian'suan 神机千算
'shen'ji'you'tian 神机幽天
'shen'jian'xin 沈剑心
'shen'jiang 神降
'shen'jie 深结
'shen'jie'ji 神皆寂
'shen'jie'ji'shan 神皆寂山
'shen'jing'du'su 神经毒素
'shen'jun'ling'lan 神军令岚
'shen'lao 神劳
'shen'li 神力
'shen'long'jiang'shi 神龙降世
'shen'long'zhi'guang 神龙之光
'shen'long'zhi'qi 神龙之气
'shen'lu'ling'xin 神鹿灵心
'shen'mai 深埋
'shen'me'shi'pao 什么是跑
'shen'men 神门
'shen'meng 神萌
'shen'meng'da'xia 神萌大侠
'shen'mi'ren'de'mu'biao 神秘人的目标
'shen'mi'zeng'yi 神秘增益
'shen'mie 神灭
'shen'ning 神凝
'shen'nu 神怒
'shen'nv'de'kong'zhi 神女的控制
'shen'pan'shang'hen 审判伤痕
'shen'pi 身疲
'shen'pi'zhan'jia'chong'feng'xian'zhen 身披战甲冲锋陷阵
'shen'qian 深潜
'shen'qing 神清
'shen'qing'qi'shuang 神清气爽
'shen'qing'qi'shuang'bei'tian'yao'zong 神清气爽北天药宗
'shen'qing'ru'yan 身轻如燕
'shen'qing'ru'yan'hu 身轻如燕护
'shen'qing'ru'yan'rui 身轻如燕锐
'shen'qing'ru'yan'you 身轻如燕游
'shen'qing'ru'zhu'ding'zhi'she'qu 申请入住定制社区
'shen'qing'wen'ding 神情稳定
'shen'quan'zhi'wei 神拳之威
'shen'que 神阙
'shen'san 神散
'shen'sha'ling'bi 神杀令壁
'shen'sha'ling'hen 神杀令狠
'shen'sha'ling'kuang 神杀令狂
'shen'sha'ling'mie 神杀令灭
'shen'sha'ling'qie 神杀令怯
'shen'sha'ling'yan'lie 神杀令岩裂
'shen'she'shou 神射手
'shen'she'xie'zhu 神射协助
'shen'shi'min'mie 神识泯灭
'shen'su 神速
'shen'suan'yu'jing 神算御境
'shen'ti'beng'kui 身体崩溃
'shen'ti'bu'shi 身体不适
'shen'wai'zhi'wu 身外之物
