'a'ba 阿爸
'hao'xie'jia 好鞋家
'hao'you'jiang'zhang 好友奖章
'hao'zhong'yao 好中药
'he'hei 荷黑
'he'la'ke'luo'si 赫拉克罗斯
'he'la'ke'luo'si'de'zhua'zi 赫拉克罗斯的爪子
'he'la'ke'luo'si'jin'hua'shi 赫拉克罗斯进化石
'he'ma'shou 河马兽
'he'mu'xiang'chu 和睦相处
'he'niu'nai 喝牛奶
'he'xin'cheng'fa'zhe 核心惩罚者
'he'yue 赫月
'he'zhong'di'qu 合众地区
'he'zhong'mao'zi 合众帽子
'he'zi 盒子
'hei'an'bao'chong 黑暗暴冲
'hei'an'cun'chu'die 黑暗存储碟
'hei'an'qiu 黑暗球
'hei'an'shi 黑暗石
'hei'an'ya 黑暗鸦
'hei'an'ya'de'bao'wu 黑暗鸦的宝物
'hei'bai'cao'cong'zhuo'jin 黑白草丛桌巾
'hei'dai 黑带
'hei'lu'jia 黑鲁加
'hei'lu'jia'jin'hua'shi 黑鲁加进化石
'hei'luo'bo 黑萝卜
'hei'qi'shi 黑奇石
'hei'qiu'guo 黑球果
'hei'se'bo'li'shao 黑色玻璃哨
'hei'se'mu'guang 黑色目光
'hei'se'tie'qiu 黑色铁球
'hei'se'wu'ni 黑色污泥
'hei'se'yan'jing 黑色眼镜
'hei'se'zong'mao 黑色鬃毛
'hei'wu 黑雾
'hei'yan'e 黑眼鳄
'hei'yan'e'de'zhua'zi 黑眼鳄的爪子
'hei'ye'de'yang'zi 黑夜的样子
'hei'ye'mo'ling 黑夜魔灵
'hei'ye'mo'ying 黑夜魔影
'hei'yu'shi 黑玉石
'hen'la'jiao 狠辣椒
'heng'jing'zhi'qu 恒净之躯
'heng'tiao'wen'shui'bei 横条纹水杯
'hong'dan 烘蛋
'hong'hua 红花
'hong'jiao'pian 红椒片
'hong'lei'jin'gang'xing 轰擂金刚猩
'hong'lian'kai'qi 红莲铠骑
'hong'ming'yue 轰鸣月
'hong'pai 红牌
'hong'qi'zi'san'ming'zhi'qian 红旗子三明治签
'hong'qiu'guo 红球果
'hong'se'bo'li'shao 红色玻璃哨
'hong'se'ge'zi'yi'zi 红色格子椅子
'hong'se'ge'zi'zhuo'jin 红色格子桌巾
'hong'se'guang'chang 红色广场
'hong'se'he'xin 红色核心
'hong'se'hua'ban 红色花瓣
'hong'se'ka'na'li'wan'ou 红色卡娜莉玩偶
'hong'se'lin'pian 红色鳞片
'hong'se'pan'zi 红色盘子
'hong'se'sui'pian 红色碎片
'hong'se'suo'lian 红色锁链
'hong'se'tou'jin 红色头巾
'hong'se'zhi'hua 虹色之花
'hong'se'zhi'yu 虹色之羽
'hong'tiao'wen'de'yang'zi 红条纹的样子
'hong'wen'bu'xiu'gang'shui'hu 红纹不锈钢水壶
'hong'wu 宏武
'hong'xian 红线
'hong'yang'cong 红洋葱
'hong'zhu'zhu'san'ming'zhi'qian 红珠珠三明治签
'hong'zuan'zong'he 红钻综合
'hou'bao'dan 吼爆弹
'hou'di'xue 厚底靴
'hou'gong'zhi'wei 后攻之尾
'hou'guai 猴怪
'hou'guai'de'mao 猴怪的毛
'hou'guai'de'tang'guo 猴怪的糖果
'hou'hou'jing 吼吼鲸
'hou'hou'jing'pen'hu 吼吼鲸喷壶
'hou'jiao 吼叫
'hou'jiao'wei 吼叫尾
'hou'jin 后津
'hou'jing'wang 吼鲸王
'hou'zhi'fang 厚脂肪
'hu'cheng'long 护城龙
'hu'di 胡地
'hu'di'jin'hua'shi 胡地进化石
'hu'die'jie'tang'shi 蝴蝶结糖饰
'hu'dou'jian'suo 戽斗尖梭
'hu'fu'jin'bi 护符金币
'hu'hu 壶壶
'hu'jiao 胡椒
'hu'ju 护具
'hu'la'hu'la'feng'ge 呼拉呼拉风格
'hu'pa 胡帕
'hua'ban'wu 花瓣舞
'hua'bei'bei 花蓓蓓
'hua'bei'bei'de'hua'fen 花蓓蓓的花粉
'hua'da'hu 猾大狐
'hua'duo'jia'nong'pao 花朵加农炮
'hua'duo'shui'bei 花朵水杯
'hua'duo'tang'shi 花朵糖饰
'hua'duo'xun'xiang 花朵薰香
'hua'fen'tuan 花粉团
'hua'hua'qi'chang 哗哗气场
'hua'hua'xiao'zi 滑滑小子
'hua'hua'xiao'zi'de'han 滑滑小子的汗
'hua'jie'fu'ren 花洁夫人
'hua'lei 华磊
'hua'li'da'sai'can'jia'zheng 华丽大赛参加证
'hua'li'da'sai'hui'yi'jiang'zhang 华丽大赛回忆奖章
'hua'li'da'sai'zhi'xing'jiang'zhang 华丽大赛之星奖章
'hua'lian 华莲
'hua'liao 花疗
'hua'liao'huan'huan 花疗环环
'hua'liao'huan'huan'de'hua 花疗环环的花
'hua'long'dian'jing 画龙点睛
'hua'mu 花幕
'hua'nai 花奈
'hua'pi 画皮
'hua'pi'guo 花啤果
'hua'shen'xing'tai 化身形态
'hua'sheng'jiang 花生酱
'hua'shi'hai'shou 化石海兽
'hua'shi'kui 化石盔
'hua'shi'kui'de'tang'guo 化石盔的糖果
'hua'shi'long 化石龙
'hua'shi'niao 化石鸟
'hua'shi'yi'long 化石翼龙
'hua'shi'yi'long'de'tang'guo 化石翼龙的糖果
'hua'shi'yi'long'jin'hua'shi 化石翼龙进化石
'hua'shi'yu 化石鱼
'hua'wei'ji'yong 化为己用
'hua'wu'niao 花舞鸟
'hua'wu'niao'de'yu'mao 花舞鸟的羽毛
'hua'xiang'mo'shi 滑翔模式
'hua'xing'de'yang'zi 化形的样子
'hua'xue'bian'hua'qi'ti 化学变化气体
'hua'xue'zhi'li 化学之力
'hua'yan'guai 花岩怪
'hua'yan'guai'de'sui'pian 花岩怪的碎片
'hua'yang'hai'shi 花漾海狮
'hua'ye'di 花叶蒂
'hua'ye'di'jin'hua'shi 花叶蒂进化石
'hua'ye'hou 花椰猴
'hua'ye'yuan 花椰猿
'hua'yuan'hua'wen 花园花纹
'hua'zhi'li 花之礼
'hua'zhuang'bao 化妆包
'hua'zou 花奏
'huai'huai'ling'yu 坏坏领域
'huan'cai'hua'wen 幻彩花纹
'huan'cai'yi'zi 幻彩椅子
'huan'cai'zhuo'jin 幻彩桌巾
'huan'chang 换场
'huan'dang 换档
'huan'jue 幻觉
'huan'le'shi'guang 欢乐时光
'huan'ran'yi'xin 焕然一新
'huan'xiang'guang'xian 幻象光线
'huan'xiao'jiang'zhang 欢笑奖章
'huan'xing'ba'zhang 唤醒巴掌
'huan'ying'fang'shou 幻影防守
'huan'zhi'tao'tao'guo 幻之桃桃果
'huan'zhuang'xiang 换装箱
'huan'zhuang'yu'hua'zhuang 换装与化妆
'huang'hua 黄花
'huang'huang'ban 晃晃斑
'huang'hun'de'yang'zi 黄昏的样子
'huang'hun'zhi'zheng 黄昏之证
'huang'hun'zhi'zong 黄昏之鬃
'huang'jia'da'shi'jiang'zhang 皇家大师奖章
'huang'jiao'pian 黄椒片
'huang'jie'mo'jiang 黄芥末酱
'huang'jin'pen'wu 黄金喷雾
'huang'jin'xiang'shui 黄金香水
'huang'jin'zhi'qu 黄金之躯
'huang'li'guo 凰梨果
'huang'qiu'guo 黄球果
'huang'se'bo'li'shao 黄色玻璃哨
'huang'se'ge'zi'yi'zi 黄色格子椅子
'huang'se'ge'zi'zhuo'jin 黄色格子桌巾
'huang'se'guang'chang 黄色广场
'huang'se'he'xin 黄色核心
'huang'se'hua'ban 黄色花瓣
'huang'se'pan'zi 黄色盘子
'huang'se'shui'bei 黄色水杯
'huang'se'shui'hu 黄色水壶
'huang'se'sui'pian 黄色碎片
'huang'se'tou'jin 黄色头巾
'huang'se'yi'zi 黄色椅子
'huang'se'zhuo'jin 黄色桌巾
'huang'wen'bu'xiu'gang'shui'hu 黄纹不锈钢水壶
'huang'ye 皇叶
'huang'ye'hua'wen 荒野花纹
'huang'you 黄油
'huang'yu'mao 黄羽毛
'hui'chen'shan 灰尘山
'hui'fu 回复
'hui'fu'feng'suo 回复封锁
'hui'fu'kou'dai 回复口袋
'hui'fu'you'jian 回复邮件
'hui'fu'zhi'ling 回复指令
'hui'gei'chu'jiang'li'de'xun'lian'jia 会给出奖励的训练家
'hui'hua 辉桦
'hui'huai'shi'ban 毁坏石板
'hui'mei 惠美
'hui'nian'jian 悔念剑
'hui'sheng 回声
'hui'shi 辉实
'hui'shou'chao'ji'jie'jing 回收超级结晶
'hui'shou'li'yong 回收利用
'hui'xing'quan 彗星拳
'hui'xing'sui'pian 彗星碎片
'hui'xuan'ka'fei'guan 回旋咖啡馆
'hui'xuan'ti 回旋踢
'hui'yao 辉耀
'hui'yi 惠艺
'hui'yi'jiang'zhang 回忆奖章
'hui'yuan'ka 会员卡
'hui'zhi 挥指
'hui'zhi 晖芷
'hui'zhuan'meng'xiang'jia 回转梦想家
'hui'zhuan'meng'xiang'jia'gao'ji'can'ting 回转梦想家高级餐厅
'hun'hun'e 混混鳄
'hun'luan 混乱
'hun'luan'zhuang'tai 混乱状态
'hun'wu'lie'yin'bao 魂舞烈音爆
'hun'xin 魂心
'hun'yuan'zhi'shi 浑圆之石
'huo'ban'miao 火斑喵
'huo'bao'hou 火暴猴
'huo'bao'shou 火暴兽
'huo'bu'dan'xing 祸不单行
'huo'chu'qu 豁出去
'huo'dong'hui'chang 活动会场
'huo'dong'jiang'zhang 活动奖章
'huo'hai 火海
'huo'hong'bu'dao'weng 火红不倒翁
'huo'hu'li 火狐狸
'huo'hua 火花
'huo'huo'qi'pao 活活气泡
'huo'jian'que 火箭雀
'huo'jian'tou'chui 火箭头锤
'huo'kong'long 火恐龙
'huo'li 活力
'huo'li 火立
'huo'li 霍莉
'huo'li'kuai 活力块
'huo'li'lei 活力蕾
'huo'li'sui'pian 活力碎片
'huo'li'xiao'shu'zhi 活力小树枝
'huo'li'zhi'zheng 活力之证
'huo'qiu'shi'ban 火球石板
'huo'qiu'shu 火球鼠
'huo'shan'zhen'bao 火山镇宝
'huo'shan'zhen'shi 火山镇石
'huo'shen'e 火神蛾
'huo'tai'jing'sui'kuai 火太晶碎块
'huo'tui'pian 火腿片
'huo'yan'bao'zhu 火焰宝珠
'huo'yan'bian 火焰鞭
'huo'yan'cun'chu'die 火焰存储碟
'huo'yan'dan 火焰弹
'huo'yan'ji 火焰鸡
'huo'yan'ji'jin'hua'shi 火焰鸡进化石
'huo'yan'ka'dai 火焰卡带
'huo'yan'lun 火焰轮
'huo'yan'niao 火焰鸟
'huo'yan'niao'de'dian'xin 火焰鸟的点心
'huo'yan'niao'de'tang'guo 火焰鸟的糖果
'huo'yan'qiu 火焰球
'huo'yan'quan 火焰拳
'huo'yan'shi 火炎狮
'huo'yan'shi'jin'hua'shi 火炎狮进化石
'huo'yan'shou'hu 火焰守护
'huo'yan'shu 火岩鼠
'huo'yan'shui'bei 火焰水杯
'huo'yan'ti 火焰踢
'huo'yan'xuan'wo 火焰旋涡
'huo'yan'ya 火焰牙
'huo'yan'zhi'qu 火焰之躯
'huo'yi'bu 火伊布
'huo'yun 霍运
'huo'zao'mian'ju 火灶面具
'huo'zhi'bao'shi 火之宝石
'huo'zhi'ji 火稚鸡
'huo'zhi'shi 火之石
'huo'zhi'shi'yue 火之誓约
'huo'zhi'wu 火之舞
'ji'bai'ren'shu'jiang'li 击败人数奖励
'ji'bian'tou'zi 机变骰子
'ji'bie'bi'zi'ji'gao'de'xun'lian'jia 级别比自己高的训练家
'ji'bie'dui'zhan 级别对战
'ji'bie'dui'zhan'da'shi'jiang'zhang 级别对战大师奖章
'ji'chi'xing'tai 疾驰形态
'ji'dong'niao 急冻鸟
'ji'dong'niao'de'dian'xin 急冻鸟的点心
'ji'dong'niao'de'tang'guo 急冻鸟的糖果
'ji'dong'zhi'zheng 激动之证
'ji'er'shi 集而饰
'ji'fang'wu 寄放屋
'ji'feng'zhi'yi 疾风之翼
'ji'ge'er'de 基格尔德
'ji'ge'er'de'de'xing'tai 基格尔德的形态
'ji'ge'er'de'duo'mian'ti 基格尔德多面体
'ji'ge'er'de'jin'hua'shi 基格尔德进化石
'ji'guang'mu 极光幕
'ji'guang'shu 极光束
'ji'han'leng'yan 极寒冷焰
'ji'he'xue'hua 几何雪花
'ji'he'xue'hua'de'bing 几何雪花的冰
'ji'hui'dai 集灰袋
'ji'ji'long 戟脊龙
'ji'ju'cao'yuan 极巨草原
'ji'ju'chao'neng 极巨超能
'ji'ju'chong'gu 极巨虫蛊
'ji'ju'da'de 极巨大地
'ji'ju'e'ba 极巨恶霸
'ji'ju'fang'bi 极巨防壁
'ji'ju'fei'chong 极巨飞冲
'ji'ju'gang'tie 极巨钢铁
'ji'ju'gong'ji 极巨攻击
'ji'ju'gu'gu 极巨菇菇
'ji'ju'han'bing 极巨寒冰
'ji'ju'huo'bao 极巨火爆
'ji'ju'long'qi 极巨龙骑
'ji'ju'pao 极巨炮
'ji'ju'quan'dou 极巨拳斗
'ji'ju'shan'dian 极巨闪电
'ji'ju'shui'liu 极巨水流
'ji'ju'suan'du 极巨酸毒
'ji'ju'tang'guo 极巨糖果
'ji'ju'tian'mi 极巨甜蜜
'ji'ju'wan'dai 极巨腕带
'ji'ju'yan'shi 极巨岩石
'ji'ju'yao'jing 极巨妖精
'ji'ju'you'hun 极巨幽魂
'ji'kuang'shi 极矿石
'ji'la'qi 基拉祈
'ji'li'dan 吉利蛋
'ji'li'dan'de'tang'guo 吉利蛋的糖果
'ji'li'nian'gao 肌力粘糕
'ji'li'quan 吉利拳
'ji'li'zhi'yu 肌力之羽
'ji'liu 激流
'ji'lu 记录
'ji'lu'jiang'zhang 纪录奖章
'ji'luo 击落
'ji'luo'qian 极落钳
'ji'nian'jiang'zhang 纪念奖章
'ji'nian'jie'zhi 纪念戒指
'ji'nian'qiu 纪念球
'ji'pu'suo 吉普索
'ji'qi 吉契
'ji'qu 汲取
'ji'sha 集沙
'ji'sheng'zhong'zi 寄生种子
'ji'shi'ga'li 即食咖喱
'ji'shi'mian 即食面
'ji'shi'qiu 计时球
'ji'shi'rou'pai 即食肉排
'ji'shi'tong'xun'qi 即时通讯器
'ji'shu'gao'shou 技术高手
'ji'su'zhe'fan 急速折返
'ji'su'zhuan'lun 疾速转轮
'ji'te'chao 极特潮
'ji'teng'bang 棘藤棒
'ji'xian'te'xun 极限特训
'ji'xie'ling'jian 机械零件
'ji'xu'shou'wang 继续守望
'ji'xun'ka'fei'guan 极训咖啡馆
'ji'yin'shi'ban 基因石板
'ji'yin'zhi'xie 基因之楔
'ji'zao 急躁
'ji'zao'bo'he 急躁薄荷
'ji'zhang'qi'xi 击掌奇袭
'ji'zhi'ji 吉雉鸡
'jia'bei 加倍
'jia'gui'zhen'zhuang 假跪真撞
'jia'he'ren'wa 甲贺忍蛙
'jia'he'ren'wa'jin'hua'shi 甲贺忍蛙进化石
'jia'ku 假哭
'jia'le'dou'kou'hua'quan 伽勒豆蔻花圈
'jia'le'dou'kou'shou'huan 伽勒豆蔻手环
'jia'le'dou'kou'zhi 伽勒豆蔻枝
'jia'le'er'de'yang'zi 伽勒尔的样子
'jia'le'er'di'qu 伽勒尔地区
'jia'le'er'guan'jun'jiang'zhang 伽勒尔冠军奖章
'jia'na'er 迦纳尔
'jia'nang 颊囊
'jia'nong'guang'pao 加农光炮
'jia'nong'shui'pao 加农水炮
'jia'qi 佳琪
'jia'qiang'zhao'shi'wu'fa'bei'fang'yu 加强招式无法被防御
'jia'qiao'hua'shi 甲壳化石
'jia'qiao'jian 甲壳茧
'jia'qiao'long 甲壳龙
'jia're'luo'tuo'mu 加热洛托姆
'jia'su 加速
'jia'xiang'ma'fen 家乡玛芬
'jia'you'peng'peng 加油碰碰
'jia'zhen'guo 嘉珍果
'jia'zhu 夹住
'jian'ci'bi 尖刺臂
'jian'ci'fang'shou 尖刺防守
'jian'ci'jia'nong'pao 尖刺加农炮
'jian'dun'jian'guai 坚盾剑怪
'jian'guo'ya'ling 坚果哑铃
'jian'jian'gu'shou 坚坚固守
'jian'jian'kuang 坚坚矿
'jian'la'xiang'chang 煎辣香肠
'jian'mei 健美
'jian'pei'gen 煎培根
'jian'qiu 捡球
'jian'shi 捡拾
'jian'shi'gong'ji 尖石攻击
'jian'shi'zhi'zheng 捡拾之证
'jian'tai 健太
'jian'wu 剑舞
'jian'wu'gu 剑舞菇
'jian'ya'long 尖牙笼
'jian'ya'lu'sha 尖牙陆鲨
'jian'yi 坚毅
'jian'ying'nao'dai 坚硬脑袋
'jian'ying'yan'shi 坚硬岩石
'jian'yue'yi'zi 简约椅子
'jian'zhi'wang 剑之王
'jian'zhuang'xiong'ji 健壮胸肌
'jian'zi'cao 毽子草
'jian'zi'cao'de'ye'pian 毽子草的叶片
'jian'zi'hua 毽子花
'jian'zi'mian 毽子棉
'jiang'en 匠恩
'jiang'jin'bi 奖金币
'jiang'jiu'tou'dai 讲究头带
'jiang'jiu'wei'jin 讲究围巾
'jiang'jiu'yan'jing 讲究眼镜
'jiang'jiu'zong 讲究粽
'jiang'li'ka 奖励卡
'jiang'pai'he 奖牌盒
'jiang'xue 降雪
'jiang'xue'zhi'zheng 降雪之证
'jiang'yu 降雨
'jiang'yu'zhi'zheng 降雨之证
'jiao'cuo'huo'yan 交错火焰
'jiao'cuo'shan'dian 交错闪电
'jiao'dian'jing 焦点镜
'jiao'hua'tian'gou 狡猾天狗
'jiao'hua'zhi'zheng 狡猾之证
'jiao'huan 娇环
'jiao'huan'chang'di 交换场地
'jiao'jin 绞紧
'jiao'jin'yu 角金鱼
'jiao'jin'yu'de'tang'guo 角金鱼的糖果
'jiao'sheng 叫声
'jiao'tang'zong'he 焦糖综合
'jiao'xiang'guo 蕉香果
'jiao'xiang'zhi'qu 焦香之躯
'jiao'xiao'hu 狡小狐
'jiao'yin'jiang'zhang 脚印奖章
'jiao'zhuang 角撞
'jiao'zuan 角钻
'jie'bang 接棒
'jie'bing 洁冰
'jie'bing'luo'tuo'mu 结冰洛托姆
'jie'cao'er 结草儿
'jie'cao'gui'fu 结草贵妇
'jie'dong'tou 结冻头
'jie'dong'tou 解冻头
'jie'dong'yao 解冻药
'jie'du'yao 解毒药
'jie'duo 捷朵
'jie'fang'hu'pa 解放胡帕
'jie'jing'dong'ku 结晶洞窟
'jie'jing'guang'mang 洁净光芒
'jie'jing'sui'pian 结晶碎片
'jie'jing'xun'xiang 洁净薰香
'jie'jing'zhi'fu 洁净之符
'jie'jing'zhi'yan 洁净之盐
'jie'ke'luo'mu 捷克罗姆
'jie'ke'luo'mu'de'dian'xin 捷克罗姆的点心
'jie'la'ao'la 捷拉奥拉
'jie'lang 捷朗
'jie'li'shuai 借力摔
'jie'lu'mu 杰路姆
'jie'ma'yao 解麻药
'jie'mian'yao 解眠药
'jie'mo'jiang 芥末酱
'jie'ni'gui 杰尼龟
'jie'ni'gui'de'tang'guo 杰尼龟的糖果
'jie'ni'gui'pen'hu 杰尼龟喷壶
'jie'pai'qi 节拍器
'jie'qiu'shou 接球手
'jie'shi 结实
'jie'si'tan 杰斯坦
'jie'xian'dun'ke 界限盾壳
'jie'zhu 借助
'jie'zuo'cha'wan 杰作茶碗
'jie'zuo'de'yang'zi 杰作的样子
'jin'bang'shu'dai 紧绑束带
'jin'chan'gou'zhao 紧缠钩爪
'jin'cheng 晋丞
'jin'gang'bao'zhu 金刚宝珠
'jin'gong'ti'sheng 进攻提升
'jin'gong'xia'jiang 进攻下降
'jin'gong'yao'wan 进攻药丸
'jin'hua 进化
'jin'hua'qi'shi 进化奇石
'jin'huang'se'hua'mi 金黄色花蜜
'jin'jia'ya 金假牙
'jin'jin'fei 劲劲肥
'jin'se'huang'li'guo 金色凰梨果
'jin'se'jiao'xiang'guo 金色蕉香果
'jin'se'ka'na'li'wan'ou 金色卡娜莉玩偶
'jin'se'man'mei'guo 金色蔓莓果
'jin'se'san'ming'zhi'qian 金色三明治签
'jin'se'wang'guan 金色王冠
'jin'se'ye'zi 金色叶子
'jin'shen'zhan 近身战
'jin'shu 紧束
'jin'shu'bao'zha 金属爆炸
'jin'shu'fang'hu 金属防护
'jin'shu'fen 金属粉
'jin'shu'guai 金属怪
'jin'shu'mo 金属膜
'jin'shu'yin 金属音
'jin'shu'zhao 金属爪
'jin'shuang'qi'shui 劲爽汽水
'jin'shui 浸水
'jin'tai'shui'bei 金钛水杯
'jin'tai'shui'hu 金钛水壶
'jin'xiong 金雄
'jin'yao'bu'fang 紧咬不放
'jin'yu'wang 金鱼王
'jin'zhang'gan 紧张感
'jin'zhang'zhi'zheng 紧张之证
'jin'zhen'guo 金枕果
'jin'zhi 金治
'jin'zhu 金珠
'jing'bao'da'tou 惊爆大头
'jing'cha 警察
'jing'cha'ju 警察局
'jing'dian 静电
'jing'dian'jiang'zhang 经典奖章
'jing'gang 京刚
'jing'guang'hua 晶光花
'jing'guang'she'ji 镜光射击
'jing'guang'xing'qun 晶光星群
'jing'guang'ya 晶光芽
'jing'guang'ya'de'jie'jing 晶光芽的结晶
'jing'guang'zhuan'zhuan 晶光转转
'jing'hai'zhi'li 惊骇之力
'jing'hua 净化
'jing'hua 静桦
'jing'huo 晶火
'jing'ji'chang 竞技场
'jing'jia 镜甲
'jing'jiao'lu 惊角鹿
'jing'jiao'lu'de'mao 惊角鹿的毛
'jing'jing 晶晶
'jing'jing'mi 晶晶蜜
'jing'kong'nian'gao 净空粘糕
'jing'kong'shi'ban 净空石板
'jing'ling'qiu 精灵球
'jing'ling'qiu'guan 精灵球馆
'jing'mian'fan'she 镜面反射
'jing'mian'shu'xing 镜面属性
'jing'sai'qiu 竞赛球
'jing'shen'bo 精神波
'jing'shen'chang'di 精神场地
'jing'shen'chong'ji 精神冲击
'jing'shen'cun'chu'die 精神存储碟
'jing'shen'ji'po 精神击破
'jing'shen'jian 精神剑
'jing'shen'li 精神力
'jing'shen'li'ren 精神利刃
'jing'shen'nian'gao 精神粘糕
'jing'shen'qiang'nian 精神强念
'jing'shen'tu'jin 精神突进
'jing'shen'zao'yin 精神噪音
'jing'shen'zhi'ya 精神之牙
'jing'shen'zhi'yu 精神之羽
'jing'shen'zhi'zao'zhe 精神制造者
'jing'shen'zhong'zi 精神种子
'jing'shen'zhuan'yi 精神转移
'jing'sheng'zao 惊声藻
'jing'tong'zhong'zi 精通种子
'jing'xia 惊吓
'jing'yan'hu'fu 经验护符
'jing'yan'peng'peng 经验碰碰
'jing'yao'hu'fu 晶耀护符
'jing'ying'xun'lian'jia 精英训练家
'jiu'chan'bu'xiu 纠缠不休
'jiu'ji'nai'ke'luo'zi'ma 究极奈克洛兹玛
'jiu'ji'qiu 究极球
'jiu'jiu'fei 久久肥
'jiu'jue'ding'shi'ni'liao'zhi'mao'zi 就决定是你了之帽子
'jiu'mei 久美
'jiu'wei 九尾
'jiu'zhi 久直
'ju'bao'gong 聚宝功
'ju'cao'ye 菊草叶
'ju'chi'fei'yu 巨翅飞鱼
'ju'da'jin'zhu 巨大金珠
'ju'dao'xiao'bing 驹刀小兵
'ju'dao'xiao'bing'de'dao 驹刀小兵的刀
'ju'du 剧毒
'ju'du'bao'chong 剧毒暴冲
'ju'du'bao'zhu 剧毒宝珠
'ju'du'shi'ban 剧毒石板
'ju'du'ya 剧毒牙
'ju'duan'jiang 巨锻匠
'ju'guang'deng 聚光灯
'ju'he 居荷
'ju'he'pi 居合劈
'ju'ji 狙击
'ju'ji'shou 狙击手
'ju'jia'wu'zhe 具甲武者
'ju'jian'tu'ji 巨剑突击
'ju'jin'guai 巨金怪
'ju'jin'guai'jin'hua'shi 巨金怪进化石
'ju'ke'zhong 巨颗种
'ju'li'chui 巨力锤
'ju'long'wei'neng 巨龙威能
'ju'man'teng 巨蔓藤
'ju'qi 聚气
'ju'qian'tang'lang 巨钳螳螂
'ju'qian'tang'lang'jin'hua'shi 巨钳螳螂进化石
'ju'qian'xie 巨钳蟹
'ju'se'hui'zhang 桔色徽章
'ju'se'pan'zi 橘色盘子
'ju'she'shu'xiao 狙射树枭
'ju'sheng 巨声
'ju'shi'ding 巨石丁
'ju'shi'ding'de'yan'shi 巨石丁的岩石
'ju'shi'shou 菊石兽
'ju'shi'shou'de'tang'guo 菊石兽的糖果
'ju'shou'dan 巨兽弹
'ju'shou'zhan 巨兽斩
'ju'tan'shan 巨炭山
'ju'ya'sha 巨牙鲨
'ju'ya'sha'jin'hua'shi 巨牙鲨进化石
'ju'zhao'guai 巨沼怪
'ju'zhao'guai'jin'hua'shi 巨沼怪进化石
'ju'zhong'qiu 巨重球
'ju'zi'jiang 橘子酱
'juan'dai'zhi'zheng 倦怠之证
'juan'fa 卷发
'juan'juan'er 卷卷耳
'juan'lian'yun 眷恋云
'juan'xiang 娟香
'jue'chu'feng'sheng 绝处逢生
'jue'di'tu 掘地兔
'jue'dui'ling'du 绝对零度
'jue'dui'shui'mian 绝对睡眠
'jue'jue'tu 掘掘兔
'jue'lu'man 爵鲁曼
'jue'wu'de'yang'zi 觉悟的样子
'jue'xing'li'liang 觉醒力量
'jue'xing'zhi'shi 觉醒之石
'jue'xing'zhi'wu 觉醒之舞
'jun'hui 君惠
'jun'jie 俊介
'jun'shu 俊树
'jun'si'zhi'li 菌丝之力
'jun'zhu'she 君主蛇
'ka'bi'shou 卡比兽
'ka'bi'shou'de'tang'guo 卡比兽的糖果
'ka'di'gou 卡蒂狗
'ka'di'gou'de'mao 卡蒂狗的毛
'ka'di'gou'de'tang'guo 卡蒂狗的糖果
'ka'fei'guan 咖啡馆
'ka'la'ka'la 卡拉卡拉
'ka'la'ka'la'de'tang'guo 卡拉卡拉的糖果
'ka'li'ni 卡丽妮
'ka'luo'si'di'qu 卡洛斯地区
'ka'luo'si'guan'jun'jiang'zhang 卡洛斯冠军奖章
'ka'luo'si'mao'zi 卡洛斯帽子
'ka'luo'si'xun'zhang 卡洛斯勋章
'ka'luo'si'yin'hang 卡洛斯银行
'ka'mi'gui 卡咪龟
'ka'mu'luo 卡穆洛
'ka'na'li 卡娜莉
'ka'na'li'wan'ou'de'xiao'guo 卡娜莉玩偶的效果
'kai'jia'che'piao 铠甲车票
'kai'jia'kuang'shi 铠甲矿石
'kai'li 凯莉
'kai'lu'di'ou 凯路迪欧
'kai'luo'si 凯罗斯
'kai'luo'si'de'tang'guo 凯罗斯的糖果
'kai'luo'si'jin'hua'shi 凯罗斯进化石
'kai'nong'pao 铠农炮
'kai'pai'ka'fei'guan 开拍咖啡馆
'kai'sa'lin 凯萨琳
'kai'xi 凯西
'kai'xi'de'tang'guo 凯西的糖果
'kan'chuan 看穿
'kan'men'quan 看门犬
'kan'wo'ma 看我嘛
'kang'nai'xin'de'ku'nao 康乃馨的苦恼
'ke'ai'da'shi'jiang'zhang 可爱大师奖章
'ke'da'ya 可达鸭
'ke'da'ya'de'tang'guo 可达鸭的糖果
'ke'da'ya'de'yu'rong 可达鸭的羽绒
'ke'da'ya'pen'hu 可达鸭喷壶
'ke'duo'la 可多拉
'ke'er'ni 可尔妮
'ke'fang'fu'wu 客房服务
'ke'ke'duo'la 可可多拉
'ke'ke'te 可可特
'ke'lai'te 科莱特
'ke'lei'lu 克蕾露
'ke'lei'se'li'ya 克雷色利亚
'ke'lei'ya 克蕾亚
'ke'li'mu 克里姆
'ke'li'ping 可莉萍
'ke'li'si'tuo'fu 克里斯托福
'ke'ming'zhao 克命爪
'ke'pa'mian'kong 可怕面孔
'ke'qin 克勤
'ke'shui 瞌睡
'ke'shui'zhuang'tai 瞌睡状态
'ke'si'mo'gu 科斯莫古
'ke'si'mo'mu 科斯莫姆
'ke'wang 渴望
'ke'xin 可心
'ke'yi'bu'ding 可疑补丁
'ke'yi'de'da'ren 可疑的大人
'ken'guo'chong 啃果虫
'ken'guo'chong'de'guo'zhi 啃果虫的果汁
'ken'tai'luo 肯泰罗
'ken'tai'luo'de'mao 肯泰罗的毛
'ken'tai'luo'de'tang'guo 肯泰罗的糖果
