'a'gan'hui 阿甘回
'ruo'san'she 弱散射
'ruo'shi 弱势
'ruo'shui 弱水
'ruo'shui 若水
'ruo'shui'qing'jiang'qi'wu 若水清江起舞
'ruo'ying'jin'ci 若影劲刺
'sa'bei'jiu 撒杯酒
'sa'dou'cheng'bing 撒豆成兵
'sa'er'liao 撒饵料
'sa'huan 撒欢
'sa'huan'lei 撒欢雷
'sa'huang'dou 撒黄豆
'sa'jiao 撒娇
'sa'niao 撒尿
'sa'qian 撒钱
'sa'shi'hui 撒石灰
'sa'shi'hui 洒石灰
'sa'shou'jian 撒手锏
'sa'shui 洒水
'sa'yu'shi 撒鱼食
'san'ban 散板
'san'bo'du'ye 散播毒液
'san'bo'shu'yi 散播鼠疫
'san'bu 散布
'san'bu'xue 三步血
'san'bu'yi'sha 三步一杀
'san'cai'hua'sheng 三才化生
'san'cai'jian'fa 三才剑法
'san'chai'jian'fa 三柴剑法
'san'chong'qiao'shu 三重巧熟
'san'dao'liu'dong'chuan'xiong 三刀六洞穿胸
'san'dao'liu'dong'guan'nao 三刀六洞灌脑
'san'dao'liu'dong'guo'yao 三刀六洞过腰
'san'die 三叠
'san'du'shi'ti 三毒噬体
'san'duan'tu 三段突
'san'duan'zhan 三段斩
'san'feng 散风
'san'ge'tong'qian 三个铜钱
'san'geng'yu 三更雨
'san'geng'yu'shou'hun 三更雨收魂
'san'he 三合
'san'hua 散华
'san'hua 散花
'san'hua'kong 散花空
'san'hua'le'xi 散花乐嬉
'san'hua'le'xi 散花乐戏
'san'hua'mie 散花灭
'san'hua'pai'yun'jian 散花排云箭
'san'hua'pian'hua'qi'xing'quan 散花偏花七星拳
'san'hua'shou'qi 散花收起
'san'huan'tao'yue 三环套月
'san'huan'tao'yue'jian'qi 三环套月剑气
'san'huan'tao'yue'shi 三环套月式
'san'huan'xi'zhang 三环锡杖
'san'hun'du'shou 散魂毒手
'san'ji 伞击
'san'jiao'ding 三角钉
'san'le'de'wan'zi'tang 散了的丸子汤
'san'lian'ji 三连击
'san'lian'shang'duan'zhan 三连上段斩
'san'lian'tu'ci 三连突刺
'san'lian'yi 散涟漪
'san'lian'yi'shi 散涟漪始
'san'lie'sha 散猎杀
'san'ling'yin'yu'zhen 散凌阴雨针
'san'liu'xia 散流霞
'san'liu'xia'guan'ti 散流霞贯体
'san'mian'bao'yan 三面暴焰
'san'qiang'li 散枪立
'san'qiang'tou'zhi 散枪投掷
'san'qiang'zhen 散枪阵
'san'qing'hua'fu 三清化符
'san'she 散射
'san'she'jian 散射箭
'san'she'tu'ci 三蛇突刺
'san'sheng 三生
'san'shi 三世
'san'shi'zhu'fo 三世诸佛
'san'tu'he'an 三途河岸
'san'wu 伞舞
'san'wu'feng'bi'xue 伞舞风避雪
'san'wu'ye'gui'ren 伞舞夜归人
'san'xia'dui'yin 伞下对饮
'san'xia'hui'qing 伞下绘情
'san'xia'xiang'xi 伞下相戏
'san'xia'yan'zou 伞下演奏
'san'xiao'wen'xin'zhen 三笑问心针
'san'xie'chi'lei 散邪赤雷
'san'xie'chi'lei'zhen 散邪赤雷阵
'san'xing'lin 三星临
'san'xing'lin'shen'bing 三星临神兵
'san'yang'chuan'xin'zhang 三阳穿心掌
'san'yang'kai'tai 三羊开泰
'san'yang'kai'tai'xun'yang'za'shua 三羊开泰驯羊杂耍
'san'yi 伞意
'san'yin'jia'shen 三印加身
'san'ying 散影
'san'yu'xia 散余霞
'san'zhen 伞阵
'san'zhen'qiang 散阵枪
'san'zhen'xuan'feng 散阵旋风
'san'zhen'zhi'ming'yi'ji 散阵致命一击
'sang'hun'ci 丧魂刺
'sang'rou 桑柔
'sang'shen'yan 丧神烟
'sang'zhe 桑柘
'sao'ji 扫击
'sao'jian'shi 扫剑式
'sao'quan 扫拳
'sao'she 扫射
'sao'she'chuan'tou 扫射穿透
'sao'tang'tui 扫堂腿
'sao'tui 扫腿
'sao'wei 扫尾
'sao'wei'bian 扫尾鞭
'sao'wei'du 扫尾毒
'sao'wei'zhen'dang 扫尾震荡
'sao'ye 扫叶
'sao'ye'ti 扫叶踢
'sao'ye'tui 扫叶腿
'sao'yue 扫岳
'se'kong'ti 色空体
'sen'luo 森罗
'sen'luo'bi'lei 森罗壁垒
'sen'luo'lian'yu 森罗炼狱
'sen'luo'wan'ren 森罗万刃
'sha'bao 沙暴
'sha'bao'xuan'wo 沙暴漩涡
'sha'bao'zhang'er'duan 沙爆掌二段
'sha'bao'zhang'yi'duan 沙爆掌一段
'sha'chang'yin'gong 沙场引弓
'sha'chen'bao 沙尘暴
'sha'chen'yi'liu'jian 沙尘逸流剑
'sha'chi'bi 鲨齿匕
'sha'chi'si'lie 鲨齿撕裂
'sha'fei'han'ji 沙匪悍击
'sha'fei'meng'ji 沙匪猛击
'sha'hong'yan 杀红眼
'sha'ji 杀机
'sha'ji'duan'hun 杀机断魂
'sha'ji'fei'yang'yang'yi'ji'yang 杀鸡沸羊羊一击羊
'sha'long'juan 沙龙卷
'sha'lu'ji'qi 杀戮机器
'sha'luo'jiu'ye 沙落九野
'sha'pu 沙瀑
'sha'qian'qiu'wan'jie 煞千秋万劫
'sha'qing 杀青
'sha'ren'wu'xi 杀人无息
'sha'shang'jiang'jun'yin 煞上将军印
'sha'shen 杀神
'sha'wei'hua'yu 杀威化雨
'sha'wu'she 杀无赦
'sha'xiao 沙啸
'sha'xiao'cang'yan'feng 沙啸苍炎风
'sha'xing'zai'wei 杀星在尾
'sha'xing'zai'wei'xu 杀星在尾续
'sha'xing'zhen'fu 杀星震符
'sha'xue 歃血
'sha'xue 霎雪
'sha'xue'du'tan 煞血毒潭
'sha'xue'ming'ren 歃血冥刃
'sha'yan 煞焰
'sha'yi 杀意
'sha'yin'quan 沙引拳
'sha'ying'gou 沙影钩
'sha'yu 沙浴
'sha'zang'tui 沙葬腿
'sha'zhen'chi'tu'nan 煞振翅图南
'sha'zhen'jun'tian 沙震钧天
'sha'zhi'xi 鲨之息
'sha'zhui 沙坠
'shan'beng'di'lie 山崩地裂
'shan'beng'shi'sui'zhan 山崩石碎斩
'shan'beng'shi'sui'zhan'di'lie 山崩石碎斩地裂
'shan'bi 闪避
'shan'chong'shui'fu 山重水复
'shan'dao 闪刀
'shan'dian'lian 闪电链
'shan'dian'wu'lian'ci 闪电五连刺
'shan'duo 闪躲
'shan'e'ru'meng 善恶如梦
'shan'fa 善法
'shan'fa'rou'shen 善法肉身
'shan'feng 扇风
'shan'feng'man'lou 山风满楼
'shan'gu'mu'mi'wu 扇骨木迷雾
'shan'guang'dan 闪光弹
'shan'hai'tong'gui'qi 山海同归契
'shan'hai'xin'jue 山海心诀
'shan'he'ding'hu'bu'gui 山河定胡不归
'shan'he'ling 山河令
'shan'he'liu'yun'jian 山河流云剑
'shan'he'yuan'xi 山河渊隙
'shan'hu 善护
'shan'ji 闪戟
'shan'ji'hua'lang'shi 闪戟画浪式
'shan'ji'hua'lang'shi'gui'po 闪戟画浪式鬼破
'shan'ji'hua'lang'shi'shan'ji 闪戟画浪式闪戟
'shan'ji'hua'lang'shi'xi 闪戟画浪式袭
'shan'ji'hua'lang'shi'yong 闪戟画浪式涌
'shan'ji'hua'lang'shi'zhen'gui'po 闪戟画浪式真鬼破
'shan'ji'hua'lang'shi'zhong 闪戟画浪式终
'shan'ji'po'lang'shi'zhen'gui'po 闪戟破浪式真鬼破
'shan'ji'shu 闪击术
'shan'ju 山居
'shan'ju'jian'yi 山居剑意
'shan'ju'wen'shui'jian 山居问水剑
'shan'le'bo'lan'qi 山乐波澜起
'shan'le'dao'feng'ying 山乐刀风影
'shan'le'dao'hui 山乐刀挥
'shan'le'dao'qi'hu'zhu 山乐刀气护主
'shan'le'gong'ji 山乐攻击
'shan'luo 扇落
'shan'meng'hai'shi 山盟海誓
'shan'ming'zhen'qiang 闪鸣真枪
'shan'ming'zhen'qiang'cheng'jie 闪鸣真枪惩戒
'shan'nong 煽弄
'shan'po'jing'yong 闪破惊涌
'shan'qi 山起
'shan'qi 扇起
'shan'qie 扇切
'shan'qing 山倾
'shan'qiong'shui'jin 山穷水尽
'shan'se 山色
'shan'shan 扇扇
'shan'si 善思
'shan'tao 闪逃
'shan'wai'qing'shan 山外青山
'shan'wu 扇舞
'shan'wu'ci 闪舞刺
'shan'wu'ci'du'bao 闪舞刺毒爆
'shan'wu'die'hong 扇舞蝶红
'shan'xian 闪现
'shan'xiang 扇香
'shan'xin 善心
'shan'xing 善行
'shan'xing'ce'shi 扇形测试
'shan'xing'zha'dan 扇形炸弹
'shan'xing'zhi'liao'ce'shi 扇形治疗测试
'shan'xiu 善修
'shan'yi 善意
'shan'yi'feng 扇翼风
'shan'you 善友
'shan'yu'chong'lou 山雨重楼
'shan'yu'yu'lai 山雨欲来
'shan'yue'cheng'feng 山岳乘风
'shan'yun'du 扇云毒
'shan'zhang 山瘴
'shan'zhen 山阵
'shan'zhu 剡注
'shan'zhuan'teng'nuo 闪转腾挪
'shang'ban 上班
'shang'chuan 上船
'shang'chun 伤春
'shang'dian 上点
'shang'duan'zhan 上段斩
'shang'gong 尚工
'shang'gou'qiang'quan 上勾强拳
'shang'gou'quan 上勾拳
'shang'hai 伤害
'shang'hai'er 伤害二
'shang'hai'san 伤害三
'shang'hai'si 伤害四
'shang'hai'wu 伤害五
'shang'han'ci'gu'zhen 伤寒刺骨针
'shang'hun'wu 殇魂舞
'shang'jiang'jun'yin 上将军印
'shang'jiang'jun'yin'jian'chen 上将军印见尘
'shang'jiang'jun'yin'lin'jiang 上将军印临江
'shang'jiang'jun'yin'shen'bing 上将军印神兵
'shang'kou'gan'ran 伤口感染
'shang'lu'zhui'han 商陆缀寒
'shang'lu'zhui'han'shen'bing 商陆缀寒神兵
'shang'ma 上马
'shang'pin'bu'jin'san 上品补筋散
'shang'pin'chang'sheng'dan 上品长生丹
'shang'pin'ding'tong'san 上品定痛散
'shang'pin'ding'tong'wan 上品定痛丸
'shang'pin'hu'xin'san 上品护心散
'shang'pin'huo'luo'san 上品活络散
'shang'pin'huo'luo'wan 上品活络丸
'shang'pin'jian'gu'san 上品健骨散
'shang'pin'jin'chuang'san 上品金创散
'shang'pin'jin'chuang'wan 上品金创丸
'shang'pin'jin'chuang'yao 上品金创药
'shang'pin'jin'chuang'yao 上品金疮药
'shang'pin'jin'yuan'san 上品金元散
'shang'pin'ju'hun'san 上品聚魂散
'shang'pin'kang'long'san 上品亢龙散
'shang'pin'ning'shen'dan 上品凝神丹
'shang'pin'qiang'shen'san 上品强身散
'shang'pin'wan'ling'dan 上品万灵丹
'shang'pin'wan'ling'san 上品万灵散
'shang'pin'xiao'yao'qing'shen'san 上品逍遥轻身散
'shang'pin'yu'lu'san 上品玉露散
'shang'pin'zhi'xue'san 上品止血散
'shang'pin'zhi'xue'wan 上品止血丸
'shang'shan 上善
'shang'shan'ruo'shui 上善若水
'shang'shui'mi'jie 尚水迷界
'shang'wei'hui 殇未悔
'shang'xia'piao 上下飘
'shang'xian'xing'liu'shu 上弦星流术
'shang'xue'zhen'tong 伤血阵痛
'shang'yan 上岩
'shang'yang'jian 商阳剑
'shang'yang'zhi 商阳指
'shang'yao 伤药
'shang'yu 伤愈
'shang'yuan'dian'huan 上元点鬟
'shang'yuan'hua 上苑花
'shang'yuan'wu'qing'yun 上元舞庆云
'shao'bing 烧饼
'shao'chong'jian 少冲剑
'shao'hu'le'de'wu'hua'rou 烧糊了的五花肉
'shao'jing'fang'chen 韶景芳尘
'shao'luo'han'mian'jin 烧罗汉面筋
'shao'ming'zhi 少明指
'shao'ren 烧刃
'shao'shang'jian 少商剑
'shao'sheng'yin'ren 哨声引人
'shao'shi 烧石
'shao'shi 韶时
'shao'shi'qiang'fa 邵氏枪法
'shao'xia'mo'pa 少侠莫怕
'shao'yang'zhi 少阳指
'shao'ze'jian 少泽剑
'she'di 慑地
'she'du 蛇毒
'she'du'hui'xin 蛇毒会心
'she'du'lian'ren 蛇毒镰刃
'she'er 射二
'she'fu 慑服
'she'ge 射革
'she'gu'jian 射骨箭
'she'gu'kui'jia 蛇蛊葵甲
'she'gu'kui'zhi'jia 蛇蛊葵之甲
'she'hun 摄魂
'she'hun'shu 摄魂术
'she'hun'tian'fa 摄魂天罚
'she'ji 射击
'she'ji'jian'she 射击溅射
'she'jian 射箭
'she'jing'san 蛇精散
'she'li'xin 舍利心
'she'ling'san 蛇灵散
'she'ling'sha 蛇灵煞
'she'ling'yu 蛇灵愈
'she'lu'xu'ming'wan 麝鹿续命丸
'she'ming'yi'ji 舍命一击
'she'nu 蛇怒
'she'po 摄魄
'she'po'du'ci 摄魄毒刺
'she'qian'ji 慑千击
'she'san 射三
'she'shen'hong'fa 舍身弘法
'she'shen'jian'fa 舍身剑法
'she'shen'jian'yi 舍身剑意
'she'shen'jue 舍身决
'she'shen'jue 舍身诀
'she'shen'jue'shou 舍身诀收
'she'shen'sui'da 蛇身碎打
'she'shen'ya 舍身压
'she'sheng 舍生
'she'shi 蛇噬
'she'shou'yuan'zhu 射手援助
'she'shu'yi'wo 蛇鼠一窝
'she'wang 射罔
'she'wei'fan 蛇尾返
'she'wei'jian 蛇尾剪
'she'wen 蛇吻
'she'wu 蛇舞
'she'wu'na'fu 蛇舞纳福
'she'xi 蛇悉
'she'xian 射线
'she'xian 蛇涎
'she'xiang'mu'biao 射向目标
'she'xin 蛇心
'she'xing'bei'dou 蛇形北斗
'she'yan 蛇眼
'she'yan 蛇蜒
'she'yao 蛇咬
'she'ye'xi'lin 涉野徙林
'she'yi 射一
'she'ying 蛇影
'she'ying'duo'ming 蛇影夺命
'she'ying'ku'can 蛇影枯残
'she'ying'mi'xin 蛇影迷心
'she'ying'shen'bing 蛇影神兵
'shen'bing'gong 神兵宫
'shen'bing'he'deng 神兵合灯
'shen'bing'jian'yu 神兵剑羽
'shen'bing'kang'long'you'hui 神兵亢龙有悔
'shen'bing'xun'huan'tian'zhuan 神兵循环天转
'shen'bing'yu 神兵羽
'shen'cang'shen'yu'ming 深藏身与名
'shen'dao'zhan 神道斩
'shen'dian'yi'kuang'jue 神癫意狂诀
'shen'dun 神遁
'shen'dun'tiao 深蹲跳
'shen'en'ru'hai 神恩如海
'shen'fa 神罚
'shen'feng 神封
'shen'feng'jian'fang 神风箭方
'shen'feng'jian'yuan 神风箭圆
'shen'ge'lan'yao 伸个懒腰
'shen'gu 审固
'shen'gu'shi'sui 神蛊噬髓
'shen'hai'jiao'sha 深海绞杀
'shen'hai'jing'mi 深海静谧
'shen'hai'xuan'wo 深海漩涡
'shen'hai'yong'mie 深海永灭
'shen'hai'zhi'men 深海之门
'shen'huo'lei 神火雷
'shen'ji'jian 神机箭
'shen'ji'lei 神机雷
'shen'ji'miao'suan 神机妙算
'shen'ji'nu'jian 神机弩箭
'shen'ji'qian'suan 神机千算
'shen'ji'qian'suan'guan'ti 神机千算贯体
'shen'ji'suo'ding 神机锁定
'shen'jia'qiang'fa 沈家枪法
'shen'jian 神剑
'shen'jian'xin'de'xin'ren 沈剑心的信任
'shen'jian'xin'wu'xue'jing'jie'yi 沈剑心武学境界一
'shen'jiang 神降
'shen'jie'ji 神皆寂
'shen'ju 神俱
'shen'jun'ling'lan 神军令岚
'shen'lan'yao 伸懒腰
'shen'lao 神劳
'shen'lei 神雷
'shen'long'bai'wei 神龙摆尾
'shen'long'jiang'shi 神龙降世
'shen'long'zhen'chuan 蜃龙真传
'shen'lu'ling'xin'cheng 神鹿灵心承
'shen'lu'ling'xin'he 神鹿灵心合
'shen'lu'ling'xin'zhuan 神鹿灵心转
'shen'mai 深埋
'shen'men 神门
'shen'mu'jiang 神木降
'shen'nong'bai'cao'jue 神农百草诀
'shen'nu 神怒
'shen'pan 审判
'shen'qi 神气
'shen'qi'de'xiao'hai'gui'chu'fa 神奇的小海龟出发
'shen'qing 神清
'shen'qing'hou'yi 深情厚谊
'shen'qing'qi'shuang 神清气爽
'shen'quan'zhi'wei 神拳之威
'shen'sha'ling'bi 神杀令壁
'shen'sha'ling'hen 神杀令狠
'shen'sha'ling'huan 神杀令缓
'shen'sha'ling'jing 神杀令惊
'shen'sha'ling'kuang 神杀令狂
'shen'sha'ling'mie 神杀令灭
'shen'sha'ling'po'dan 神杀令破胆
'shen'sha'ling'qie 神杀令怯
'shen'sha'ling'yan'lie 神杀令岩裂
'shen'shou 神手
'shen'shou'jiao'jie 身手矫捷
'shen'shu'duo'zhu 神树夺珠
'shen'shu'duo'zhu'zhui 神树夺珠追
'shen'suo'zhan'kai 伸缩展开
'shen'ti'xiang'you 身体向右
'shen'ti'xiang'zuo 身体向左
'shen'ti'xiu'fu 身体修复
'shen'tie'you 神铁游
'shen'tou'bao'dao'bao'yu'shu 神偷宝盗宝预书
'shen'tou'bao'li'ren 神偷宝利刃
'shen'tui 伸腿
'shen'wai'zhi'wu 身外之物
'shen'wei'chuan'che 神威穿彻
'shen'wei'hao'dang 神威浩荡
'shen'wei'ru'yu 神威如狱
'shen'wei'she'po 神威慑魄
'shen'wu 蜃雾
'shen'xing 深行
'shen'xing 神行
'shen'xing'qian'li 神行千里
'shen'yan'jiang'zui 神焰降罪
'shen'yi 神怡
'shen'yi 身意
'shen'yong 神勇
'shen'you'wan 神游丸
'shen'yu 神谕
'shen'yu'zhao'lin 神预照临
'shen'yuan 神元
'shen'zhan 伸展
'shen'zhan 神占
'shen'zhan'huo'li'guan'ti 神占火离贯体
'shen'zhi'mi'hu 神智迷糊
'shen'zhu'she'ji 神注射击
'shen'zi'lie'yan 神子烈焰
'sheng'cai 圣裁
'sheng'cai'xing'gui 圣裁刑晷
'sheng'cai'zhong 圣裁终
'sheng'da'ju'mu 盛大剧目
'sheng'di 生地
'sheng'di'yu 生地狱
'sheng'fa 圣罚
'sheng'fa 生发
'sheng'fa'guang'ming 圣法光明
'sheng'feng 生风
'sheng'fu'shi'hun 胜负师魂
'sheng'guang'ming 圣光明
'sheng'hua 生花
'sheng'hua'zhan'fang 生花绽放
'sheng'huang 笙簧
'sheng'hui 生辉
'sheng'huo 圣火
'sheng'huo'fen'cheng 圣火焚城
'sheng'huo'jian'yu'sui 圣火剑玉碎
'sheng'huo'jiang'shi 圣火降世
'sheng'huo'lin 圣火临
'sheng'huo'ran'xin 圣火燃心
'sheng'huo'ran'xin'guan'ti 圣火燃心贯体
'sheng'huo'xi'mie 圣火熄灭
'sheng'huo'zhao 圣火昭
'sheng'huo'zhuo 圣火灼
'sheng'jiao 胜娇
'sheng'ju 生聚
'sheng'lian 生莲
'sheng'lin 圣鳞
'sheng'long'chui 升龙锤
'sheng'long'lei'shan 升龙雷闪
'sheng'mai 生脉
'sheng'mi 生迷
'sheng'mie'yu'duo 生灭予夺
'sheng'ming'fan'bu 生命反哺
'sheng'ming'hui'fu 生命回复
'sheng'ming'ji'qu 生命汲取
'sheng'ming'ran'shao 生命燃烧
'sheng'ming'xian'ji 生命献祭
'sheng'ming'you 圣明佑
'sheng'nu 盛怒
'sheng'nv'huo'wu 圣女火舞
'sheng'qi'le 生气了
'sheng'qi'ye'mu'xing'he 升起夜幕星河
'sheng'qi'zi 升气紫
'sheng'qian 胜前
'sheng'qian'guan'ti 胜前贯体
'sheng'qu 声趣
'sheng'ren'wu'jin 生人勿近
'sheng'rou'ou'jia 生肉藕夹
'sheng'ruo'jing'lei 声若惊雷
'sheng'sha'yi'nian 生杀一念
'sheng'she'shi'she'ying 圣蛇使蛇影
'sheng'shou'zhi'tian 圣手织天
'sheng'shou'zhi'tian'shen'bing 圣手织天神兵
'sheng'si'bu'li 生死不离
'sheng'si'jie 生死劫
'sheng'si'jie'ri 生死劫日
'sheng'si'jie'ri'xuan'xiang 生死劫日悬象
'sheng'si'jie'yue 生死劫月
'sheng'si'jie'yue'xuan'xiang 生死劫月悬象
'sheng'si'lie'yan 圣祀烈焰
'sheng'si'po'mo'ji 生死破魔击
'sheng'si'xi'long 生死戏龙
'sheng'si'xian 生死线
'sheng'si'xiang'yi'shuang'lian 生死相依霜链
'sheng'si'zhi'jiao 生死之交
'sheng'tai'ji 生太极
'sheng'tai'ji'ren'jian'he'yi 生太极人剑合一
'sheng'teng'zheng'qi 升腾蒸汽
'sheng'tu 圣徒
'sheng'xi 生息
'sheng'xia 盛夏
'sheng'xiao'jiu'tian 声啸九天
'sheng'xie'ji 圣蝎击
'sheng'xie'qian'ci 圣蝎钳刺
'sheng'xie'wei'ci 圣蝎尾刺
'sheng'xie'yin 圣蝎引
'sheng'yan 圣炎
'sheng'yan 圣焰
'sheng'yan'hua'shen'zhan 圣炎化身斩
'sheng'yan'ling 圣焰令
'sheng'yan'zhi'bao 圣炎之爆
'sheng'yan'zhuo 圣炎灼
'sheng'yang 生阳
'sheng'yong 圣咏
'sheng'yong 圣涌
'sheng'yu'ming'xin 圣浴明心
'sheng'yuan 生缘
'sheng'yuan'da'zhen 圣元大阵
'sheng'yuan'zhen 圣元阵
'sheng'yue'zhuo 圣月浊
'sheng'zhao 绳爪
'sheng'zhe'wei'wang 胜者为王
'sheng'zhen'si'ye 声震四野
'shi'bao 尸爆
'shi'bao 石爆
'shi'bing 释冰
'shi'bu'ke'dang 势不可挡
'shi'bu'sha'yi'ren 十步杀一人
'shi'chen'ba 食尘吧
'shi'cheng'liu'long 时乘六龙
'shi'chong'shen'du 尸虫深毒
'shi'ci 石刺
'shi'ci'bao'zha 石刺爆炸
'shi'di'tu'hao 噬氐土貉
'shi'dian'shi'gu'zhang 尸典噬骨掌
'shi'dian'xi'hun'gong 尸典吸魂功
'shi'dian'yan'luo 十殿阎罗
'shi'du 尸毒
'shi'du 蚀毒
'shi'du'bao'lie 尸毒爆裂
'shi'du'bo'li 尸毒剥离
'shi'du'chan'rao 尸毒缠绕
'shi'du'dan 蚀毒弹
'shi'du'fan'fa 尸毒泛发
'shi'du'huan 蚀毒环
'shi'du'jian 嗜毒箭
'shi'du'man'yan 尸毒蔓延
'shi'du'qiu 蚀毒球
'shi'du'quan 蚀毒圈
'shi'er'feng'shui'jian 十二风水剑
'shi'er'zi'wu 十二子午
'shi'fang'bao'dan'kuang'che 释放爆弹矿车
'shi'fang'cang'sha 十方藏杀
'shi'fang'dian'liu 释放电流
'shi'fang'jian 十方剑
'shi'fang'ling'yun 十方灵韵
'shi'fang'quan'ti'yin'shen 释放全体隐身
'shi'fang'xin'yang 释放信仰
'shi'fang'xuan'ji 十方玄机
'shi'fang'xuan'ji'guan'ti 十方玄机贯体
'shi'fu 实腹
'shi'gu 势孤
'shi'gu 嗜蛊
'shi'gu 噬蛊
'shi'gu 噬骨
'shi'gu 蚀骨
'shi'gu'du'ye 蚀骨毒液
'shi'gu'e'du 施蛊厄毒
'shi'gu'lie'du 蚀骨烈毒
'shi'gu'tui 噬骨腿
'shi'gu'yuan'han 蚀骨怨寒
'shi'gu'zhang'fa 尸骨掌法
'shi'gu'zhi'hua 蚀骨之花
'shi'gui'feng'jin 尸鬼封烬
'shi'gui'feng'jin'hui'xin 尸鬼封烬会心
'shi'gui'feng'jin'hui'xin'yi'ji 尸鬼封烬会心一击
'shi'hai'du'yuan 尸海毒渊
'shi'hao 尸嚎
'shi'hao 示好
'shi'hou 狮吼
'shi'hou'gong 尸吼功
'shi'hu 石虎
'shi'hua 尸化
'shi'huang'jian'fa'luo'yang 十煌剑法落阳
'shi'huang'jian'zhu'liu 十皇剑逐流
'shi'huang'long'ying'jian'ji 十煌龙影剑极
'shi'hui 石灰
'shi'hun 噬魂
'shi'hun'duo'po 噬魂夺魄
'shi'hun'gu 噬魂蛊
'shi'hun'jue 噬魂诀
'shi'hun'qiang 噬魂枪
'shi'hun'tou'lu 噬魂头颅
'shi'hun'yan'shi 侍魂炎蚀
'shi'hun'zhao 噬魂爪
'shi'hun'zhou 噬魂咒
'shi'huo'xuan'tian 室火玄天
'shi'ji 石击
'shi'ji'dan 蚀肌弹
'shi'ji'dan'shen'bing 蚀肌弹神兵
'shi'ji'hua'xue 蚀肌化血
'shi'ji'tan'fei'tian 蚀肌弹飞天
'shi'jian'che'lun 时间车轮
'shi'jian'yi 石间意
'shi'jin 使劲
'shi'jin'bing'qiong 矢尽兵穷
'shi'jiu'xue'zhao 尸鹫血爪
'shi'jun 势钧
'shi'kong'ting'zhi 时空停滞
'shi'liao'fu'yi'qu 事了拂衣去
'shi'ling 释灵
'shi'mai'gu 噬脉蛊
'shi'mi'chang'cheng 十米长城
'shi'mo'wei'huo'hu 蚀磨尾火虎
'shi'nei 噬内
'shi'neng 释能
'shi'ni'zhi'hun 失溺之魂
'shi'nu'tie'ya'zhen 十弩铁牙阵
'shi'nue 施虐
'shi'po 蚀魄
'shi'po'hun'san 噬魄魂散
'shi'po'tian'jing 石破天惊
'shi'po'wei'zhuang 识破伪装
'shi'qi'bao'peng 士气爆棚
'shi'qiang'ling'ruo 恃强凌弱
'shi'qing'sheng 石磬声
'shi'qiu 蚀球
'shi'ren'fu'pi 尸人斧劈
'shi'rong'shu 尸融术
'shi'rou'zhong'sheng 食肉众生
'shi'ru'po'zhu 势如破竹
'shi'san'ying'zhi'ying 十三鹰之影
'shi'shang 诗上
'shi'shen 噬身
'shi'shen 失神
'shi'shen'bu'zhi'huo 式神不知火
'shi'shen'jin'gang'zhou 式神金刚咒
'shi'shen'ling'ya 式神灵压
'shi'shen'mu'long'ya 式神木龙牙
'shi'shen'zhao'lai 式神招来
'shi'shen'zhen'chi 式神振翅
'shi'shi'ju'fa 十矢俱发
'shi'shou 蚀兽
'shi'sui 食髓
'shi'sui'fei'ren 噬髓飞刃
'shi'tan 试探
'shi'tou 石头
'shi'wan'huo'ji 十万火急
'shi'wang 弑王
'shi'wang'tu'ji 狮王突击
'shi'wei 示威
'shi'wei'du'jian 侍卫毒箭
'shi'wei'feng'zhan 侍卫疯斩
'shi'wen'zi'zhan 十文字斩
'shi'xiang 师襄
'shi'xiang'ruan'gu'san 十香软骨散
'shi'xiang'ruan'jin'san 十香软筋散
'shi'xiao 狮啸
'shi'xiao'gong 尸啸功
'shi'xiao'guan'ti 狮啸贯体
'shi'xiao'shou 狮啸收
'shi'xiao'zhen'di'zhang 狮啸震地掌
'shi'xin 狮心
'shi'xin'biao 蚀心镖
'shi'xin'gu 蚀心蛊
'shi'xin'yin 蚀心引
'shi'xin'zhang 噬心掌
'shi'xin'zhou 噬心咒
'shi'xue 嗜血
'shi'xue 噬血
'shi'xue'duo'hun 噬血夺魂
'shi'xue'gong'ji 嗜血攻击
'shi'xue'hua'hun 噬血画魂
'shi'xue'ling'chong'gu 噬血灵虫蛊
'shi'xue'piao'miao 嗜血缥缈
'shi'xue'piao'miao'zhan 嗜血缥缈斩
'shi'xue'ying 噬血影
'shi'xue'zhan 嗜血斩
'shi'xue'zhou 嗜血咒
'shi'xue'zhou 噬血咒
'shi'yan 狮焰
'shi'yao 噬咬
'shi'yi 时移
'shi'yi 识意
'shi'yi'fu'zhou 使役符咒
'shi'yi'fu'zhou'er 使役符咒二
'shi'yi'fu'zhou'yi 使役符咒一
'shi'yi'pu'gong 使役普攻
'shi'ying'ben'xing 食婴本性
'shi'yong 使用
'shi'yong'rui'lei'lie'e 使用锐雷猎鳄
'shi'yuan'jian'zhang'chong'qi'shao'ze 逝远剑章冲气少泽
'shi'yuan'jian'zhang'liu'jing'kai'he 逝远剑章六经开阖
'shi'yuan'jian'zhang'zhi'jian'fu'yang 逝远剑章指剑拂阳
'shi'yuan'long'xing 蚀渊龙刑
'shi'yue 蚀月
'shi'zhao 尸爪
'shi'zhao'po'zhen 识招破阵
'shi'zhen 时祯
'shi'zhu'zhen'dang 石柱震荡
'shi'zhuang 识妆
'shi'zi'bao'lie 十字爆裂
'shi'zi'hou 狮子吼
'shi'zi'hou'duan'mai 狮子吼断脉
'shi'zi'lian'zhan 十字镰斩
'shi'zi'lian'zhao 狮子连爪
